laptop_id,full_name_with_specs,link_profile,full_name,producer,model,cpu,cpu_mark,gpu,disc,ram,ram_tech,display_size,display_resolution,display_hz,display_tech,weight,hdmi_version,wifi_version,bluetooth_version,webcam_resolution,microphone_count,publishing_date,price_in_dollar,review_link,amazon_link,dimensions,ethernet,fingerprint_reader,service_rank,service_level
715,"Acer Aspire 5ProcessorAMD Ryzen 3 3350UInternal memory4GB RAMVideo cardAMD Radeon RX Vega 6 (R2000/3000, 15W)Display15.6”, Full HD (1920 x 1080), IPSSolid-state drive128GB SSD",https://laptopmedia.com/laptop-specs/acer-aspire-5-4116/,Acer Aspire 5,Acer,Aspire5,AMD Ryzen 3 3350U,5853,"AMD Radeon RX Vega 6 (R2000/3000, 15W)",128GB SSD,4GB,,15.6”, Full HD (1920 x 1080),, IPS,2.0,,802.11ax,5.1,,,24.06.2023,,,,,"10, 100, 1000 Mbit/s",Fingerprint reader,7,73/100
716,"Acer Aspire 3 Spin 14ProcessorIntel Core i3-N305Internal memory8GB RAMVideo cardIntel UHD Graphics Xe 750 (32EU)Display14.0”, WUXGA (1920 x 1200), IPSSolid-state drive128GB SSD",https://laptopmedia.com/laptop-specs/acer-aspire-3-spin-14-5/,Acer Aspire 3 Spin 14,Acer,Aspire3Spin14,Intel Core i3-N305,10058,Intel UHD Graphics Xe 750 (32EU),128GB SSD,8GB,,14.0”, WUXGA (1920 x 1200),, IPS,3.2 Gen 1 (5 Gbps),2.1,802.11ax,5.1,720p,2x Microphones,26.06.2023,,,,,,Fingerprint reader,7,73/100
717,"HP Pavilion x360 14ProcessorIntel Core i3-1215UInternal memory8GB RAMVideo cardIntel UHD Graphics (Alder Lake, 64EU)Display14.0”, Full HD (1920 x 1080), IPSSolid-state drive256GB SSD",https://laptopmedia.com/laptop-specs/hp-pavilion-x360-14-1639/,HP Pavilion x360 14,HP,Pavilionx36014,Intel Core i3-1215U,11042,"Intel UHD Graphics (Alder Lake, 64EU)",256GB SSD,8GB,,14.0”, Full HD (1920 x 1080),, IPS,,2.0,802.11ac,5.0,720p,2x Microphones,08.09.2022,,,,,,,9,63/100
718,"ASUS ROG Zephyrus G14ProcessorAMD Ryzen 7 7735HSInternal memory48GB RAMVideo cardNVIDIA GeForce RTX 4050 (Laptop, 120W)Display14.0”, WQXGA (2560 x 1600), 165 Hz, IPSSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/asus-rog-zephyrus-g14-834/,ASUS ROG Zephyrus G14,ASUS,ROGZephyrusG14,AMD Ryzen 7 7735HS,24280,"NVIDIA GeForce RTX 4050 (Laptop, 120W)",1000GB SSD,48GB,,14.0”, WQXGA (2560 x 1600), 165 Hz,,,2.1,802.11ax,5.2,1080p,3x Microphones,18.07.2023,,,,"312 x 227 x 18.5 - 20.5 mm (12.28"" x 8.94"" x 0.73"")",,Fingerprint reader,5,80/100
719,"Lenovo LOQ 16ProcessorIntel Core i7-13620HInternal memory64GB RAMVideo cardNVIDIA GeForce RTX 4050 (Laptop, 95W)Display16.0″, WUXGA (1920 x 1200), 144 Hz, IPSSolid-state drive2000GB SSD",https://laptopmedia.com/laptop-specs/lenovo-loq-16-20/,Lenovo LOQ 16,Lenovo,LOQ16,Intel Core i7-13620H,26465,"NVIDIA GeForce RTX 4050 (Laptop, 95W)",2000GB SSD,64GB,,16.0″, WUXGA (1920 x 1200), 144 Hz,,"359.6 x 277.6 x 21 - 25.9 mm (14.16"" x 10.93"" x 0.83"")",2.1,802.11ax,5.1,1080p,2x Microphones,24.07.2023,,,,,"10, 100, 1000 Mbit/s",Fingerprint reader,3,85/100
720,"Lenovo Legion Pro 7i 16ProcessorIntel Core i9-13900HXInternal memory32GB RAMVideo cardNVIDIA GeForce RTX 4080 (Laptop, 175W)Display16.0"", QHD (2560 x 1600), 240 Hz, IPSSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/lenovo-legion-pro-7i-16-13/,Lenovo Legion Pro 7i 16,Lenovo,LegionPro7i16,Intel Core i9-13900HX,44951,"NVIDIA GeForce RTX 4080 (Laptop, 175W)",1000GB SSD,32GB,,"16.0""", QHD (2560 x 1600), 240 Hz,,,2.1,802.11ax,5.1,720p / 1080p,2x Microphones,09.05.2023,,,,"363.4 x 262.15 x 21.95 - 25.90 mm (14.31"" x 10.32"" x 0.86"")","10, 100, 1000 Mbit/s",Fingerprint reader,3,85/100
721,"ASUS Chromebook CR1ProcessorIntel Celeron N5100Internal memory8GB RAMVideo cardIntel UHD Graphics (Jasper Lake 24 EU)Display11.6”, HD (1366 x 768), TNSolid-state drive32GB SSD",https://laptopmedia.com/laptop-specs/asus-chromebook-cr1-5/,ASUS Chromebook CR1,ASUS,ChromebookCR1,Intel Celeron N5100,3370,Intel UHD Graphics (Jasper Lake 24 EU),32GB SSD,8GB,,11.6”, HD (1366 x 768),, TN,3.2 Gen 1 (5 Gbps),,802.11ax,5.2,720p,1x Microphone,26.07.2023,,,,,,Fingerprint reader,5,80/100
722,"ASUS ROG Zephyrus G14ProcessorAMD Ryzen 7 5800HSInternal memory16GB RAMVideo cardNVIDIA GeForce RTX 3060 (Laptop, 80W)Display14.0"", FHD (1920 x 1080), 144 Hz, IPSSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/asus-rog-zephyrus-g14-931/,ASUS ROG Zephyrus G14,ASUS,ROGZephyrusG14,AMD Ryzen 7 5800HS,20364,"NVIDIA GeForce RTX 3060 (Laptop, 80W)",1000GB SSD,16GB,,"14.0""", Full HD (1920 x 1080), 144 Hz,,"324 x 222 x 17.9 ~ 19.9 mm (12.76"" x 8.74"" x 0.70"")",2.0b,802.11ax,5.0,,,27.07.2023,$1079.99,https://laptopmedia.com/review/asus-rog-zephyrus-g14-ga401-2021-quick-review-improved-cooling-and-better-hardware/,https://www.amazon.com/exec/obidos/ASIN/B0CC3WQJ3R?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,,,Fingerprint reader,5,80/100
723,"Lenovo Legion Pro 5i 16ProcessorIntel Core i9-13900HXInternal memory16GB RAMVideo cardNVIDIA GeForce RTX 4070 (Laptop, 140W)Display16.0"", WQXGA (2560 x 1600), 240 Hz, IPSSolid-state drive512GB SSD",https://laptopmedia.com/laptop-specs/lenovo-legion-pro-5i-16-196/,Lenovo Legion Pro 5i 16,Lenovo,LegionPro5i16,Intel Core i9-13900HX,44951,"NVIDIA GeForce RTX 4070 (Laptop, 140W)",512GB SSD,16GB,,"16.0""", WQXGA (2560 x 1600), 240 Hz,,,2.1,802.11ax,5.1,720p / 1080p,2x Microphones,01.10.2023,,,,"363.4 x 260.35 x 22.45-26.75 mm (14.31"" x 10.25"" x 0.88"")","10, 100, 1000 Mbit/s",Fingerprint reader,3,85/100
724,"Lenovo ThinkPad P16s Gen 1ProcessorIntel Core i7-1260PInternal memory24GB RAMVideo cardNVIDIA Quadro T550Display16.0”, WUXGA (1920 x 1200), IPSSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/lenovo-thinkpad-p16s-gen-1-202/,Lenovo ThinkPad P16s Gen 1,Lenovo,ThinkPadP16sGen1,Intel Core i7-1260P,17211,NVIDIA Quadro T550,1000GB SSD,24GB,,16.0”, WUXGA (1920 x 1200),, IPS,"361.98 x 255.5 x 20.5 mm (14.25"" x 10.06"" x 0.81"")",2.0b,802.11ax,5.2,720p / 1080p,2x Microphones,03.10.2023,,,,,"10, 100, 1000 Mbit/s",Fingerprint reader,3,85/100
725,"Lenovo ThinkPad P14s Gen 2ProcessorIntel Core i7-1185G7Internal memory16GB RAMVideo cardNVIDIA Quadro T500Display14.0”, Full HD (1920 x 1080), IPSSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/lenovo-thinkpad-p14s-gen-2-252/,Lenovo ThinkPad P14s Gen 2,Lenovo,ThinkPadP14sGen2,Intel Core i7-1185G7,10562,NVIDIA Quadro T500,1000GB SSD,16GB,,14.0”, Full HD (1920 x 1080),, IPS,"329 x 227 x 17.9 mm (12.95"" x 8.94"" x 0.70"")",2.0,802.11ax,5.2,720p,2x Microphones,01.11.2023,,,,,"10, 100, 1000 Mbit/s",,3,85/100
726,"Lenovo ThinkPad P14s Gen 2ProcessorIntel Core i7-1185G7Internal memory32GB RAMVideo cardNVIDIA Quadro T500Display14.0”, Full HD (1920 x 1080), IPSSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/lenovo-thinkpad-p14s-gen-2-255/,Lenovo ThinkPad P14s Gen 2,Lenovo,ThinkPadP14sGen2,Intel Core i7-1185G7,10562,NVIDIA Quadro T500,1000GB SSD,32GB,,14.0”, Full HD (1920 x 1080),, IPS,"329 x 227 x 17.9 mm (12.95"" x 8.94"" x 0.70"")",2.0,802.11ax,5.2,720p,2x Microphones,01.11.2023,,,,,"10, 100, 1000 Mbit/s",,3,85/100
727,"Lenovo ThinkPad P14s Gen 2ProcessorIntel Core i7-1185G7Internal memory32GB RAMVideo cardNVIDIA Quadro T500Display14.0”, Full HD (1920 x 1080), IPSSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/lenovo-thinkpad-p14s-gen-2-268/,Lenovo ThinkPad P14s Gen 2,Lenovo,ThinkPadP14sGen2,Intel Core i7-1185G7,10562,NVIDIA Quadro T500,1000GB SSD,32GB,,14.0”, Full HD (1920 x 1080),, IPS,"329 x 227 x 17.9 mm (12.95"" x 8.94"" x 0.70"")",2.0,802.11ax,5.2,720p,2x Microphones,01.11.2023,,,,,"10, 100, 1000 Mbit/s",Fingerprint reader,3,85/100
728,"ASUS ROG Strix G15ProcessorAMD Ryzen 7 4800HInternal memory20GB RAMVideo cardNVIDIA GeForce RTX 3060 (Laptop, 130W)Display15.6”, Full HD (1920 x 1080), 144 Hz, IPSSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/asus-rog-strix-g15-1127/,ASUS ROG Strix G15,ASUS,ROGStrixG15,AMD Ryzen 7 4800H,18678,"NVIDIA GeForce RTX 3060 (Laptop, 130W)",1000GB SSD,20GB,,15.6”, Full HD (1920 x 1080), 144 Hz,,"354.9 x 259.9 x 22.9 ~ 27.2  mm (13.97"" x 10.23"" x 0.90"")",2.0b,802.11ax,5.1,,1x Microphone,01.11.2023,$1169.00,https://laptopmedia.com/review/asus-rog-strix-g15-g513-review-a-possible-best-seller-for-2021/,https://www.amazon.com/exec/obidos/ASIN/B0CH36TZW1?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,,"10, 100, 1000 Mbit/s",Fingerprint reader,5,80/100
729,"Lenovo IdeaPad 5 Pro 14ProcessorAMD Ryzen 5 5600UInternal memory16GB RAMVideo cardAMD Radeon RX Vega 7 (R4000/5000, 15W)Display14.0″, 2.2K (2240 x 1400), IPSSolid-state drive512GB SSD",https://laptopmedia.com/laptop-specs/lenovo-ideapad-5-pro-14-66/,Lenovo IdeaPad 5 Pro 14,Lenovo,IdeaPad5Pro14,AMD Ryzen 5 5600U,15474,"AMD Radeon RX Vega 7 (R4000/5000, 15W)",512GB SSD,16GB,,14.0″, 2.2K (2240 x 1400),, IPS,1.41 kg (3.1 lbs),1.4b,802.11ax,5.1,720p,2x Microphones,02.11.2023,$819.00,https://laptopmedia.com/review/lenovo-ideapad-5-pro-14/,https://www.amazon.com/exec/obidos/ASIN/B0CKMSX55D?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,,,Fingerprint reader,3,85/100
730,"Lenovo IdeaPad 3i 15ProcessorIntel Core i3-1115G4Internal memory8GB RAMVideo cardIntel UHD Graphics Xe G4 (48EU)Display15.6”, Full HD (1920 x 1080), IPSSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/lenovo-ideapad-3i-15-1721/,Lenovo IdeaPad 3i 15,Lenovo,IdeaPad3i15,Intel Core i3-1115G4,6143,Intel UHD Graphics Xe G4 (48EU),1000GB SSD,8GB,,15.6”, Full HD (1920 x 1080),, IPS,"359.2 x 236.5 x 19.9 mm (14.14"" x 9.31"" x 0.78"")",1.4b,802.11ax,5.1,720p,2x Microphones,02.11.2023,,,,,,Fingerprint reader,3,85/100
731,"HP 14ProcessorAMD Ryzen 3 5300UInternal memory32GB RAMVideo cardAMD Radeon RX Vega 6 (R4000/5000, 15W)Display14.0”, HD (1366 x 768), TNSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/hp-14-6712/,HP 14,HP,14,AMD Ryzen 3 5300U,9712,"AMD Radeon RX Vega 6 (R4000/5000, 15W)",1000GB SSD,32GB,,14.0”, HD (1366 x 768),, TN,3.2 Gen 1 (5 Gbps),1.4b,802.11ac,4.2,720p,1x Microphone,02.11.2023,,,,,,Fingerprint reader,9,63/100
732,"HP ENVY x360 15ProcessorAMD Ryzen 7 7730UInternal memory32GB RAMVideo cardAMD Radeon RX Vega 8 (R4000/5000, 15W)Display15.6”, Full HD (1920 x 1080), IPSSolid-state drive2000GB SSD",https://laptopmedia.com/laptop-specs/hp-envy-x360-15-5057/,HP ENVY x360 15,HP,ENVYx36015,AMD Ryzen 7 7730U,18796,"AMD Radeon RX Vega 8 (R4000/5000, 15W)",2000GB SSD,32GB,,15.6”, Full HD (1920 x 1080),, IPS,,2.1,802.11ax,5.2,720p,2x Microphones,02.11.2023,,,,,,Fingerprint reader,9,63/100
733,"Lenovo ThinkPad E16 Gen 1ProcessorIntel Core i7-1355UInternal memory32GB RAMVideo cardIntel Iris Xe Graphics G7 (96EU)Display16.0”, WUXGA (1920 x 1200), IPSSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/lenovo-thinkpad-e16-gen-1-73/,Lenovo ThinkPad E16 Gen 1,Lenovo,ThinkPadE16Gen1,Intel Core i7-1355U,15276,Intel Iris Xe Graphics G7 (96EU),1000GB SSD,32GB,,16.0”, WUXGA (1920 x 1200),, IPS,2.0,2.0,802.11ax,5.1,720p / 1080p,2x Microphones,01.11.2023,,,,,"10, 100, 1000 Mbit/s",Fingerprint reader,3,85/100
734,"ASUS Vivobook 15ProcessorIntel Core i3-1215UInternal memory8GB RAMVideo cardIntel UHD Graphics (Alder Lake, 64EU)Display15.6”, Full HD (1920 x 1080), IPSSolid-state drive512GB SSD",https://laptopmedia.com/laptop-specs/asus-vivobook-15-3598/,ASUS Vivobook 15,ASUS,Vivobook15,Intel Core i3-1215U,11042,"Intel UHD Graphics (Alder Lake, 64EU)",512GB SSD,8GB,,15.6”, Full HD (1920 x 1080),, IPS,"359.7 x 23205 x 17.9 mm (14.16"" x 913.58"" x 0.70"")",1.4,802.11ax,5.0,720p,1x Microphone,04.11.2023,,,,,,Fingerprint reader,5,80/100
735,"Apple MacBook Air 15ProcessorApple M2 (8-core GPU)Internal memory8GB RAMVideo cardApple M2 GPU (10-core)Display15.3”, Liquid Retina (2880 x 1864), IPSSolid-state drive512GB SSD",https://laptopmedia.com/laptop-specs/apple-macbook-air-15-7/,Apple MacBook Air 15,Apple,MacBookAir15,Apple M2 (8-core GPU),15427,Apple M2 GPU (10-core),512GB SSD,8GB,,15.3”, Liquid Retina (2880 x 1864),, IPS,1.51 kg (3.3 lbs),,802.11ax,5.3,1080p,3x Microphones,12.06.2023,$1499.00,https://laptopmedia.com/review/apple-macbook-air-15-mid-2023-review-the-new-15-inch-macbook-air-is-all-you-expect-it-to-be/,https://www.amazon.com/exec/obidos/ASIN/B0C76D4RWJ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,,,Fingerprint reader,1,95/100
736,"Lenovo IdeaPad Gaming 3i 15ProcessorIntel Core i5-11300HInternal memory24GB RAMVideo cardNVIDIA GeForce GTX 1650 (Laptop)Display15.6”, Full HD (1920 x 1080), 120 Hz, IPSSolid-state drive512GB SSD",https://laptopmedia.com/laptop-specs/lenovo-ideapad-gaming-3i-15-891/,Lenovo IdeaPad Gaming 3i 15,Lenovo,IdeaPadGaming3i15,Intel Core i5-11300H,11002,NVIDIA GeForce GTX 1650 (Laptop),512GB SSD,24GB,,15.6”, Full HD (1920 x 1080), 120 Hz,,"359.6 x 251.9 x 24.2 mm (14.16"" x 9.92"" x 0.95"")",2.0,802.11ax,5.0,720p,2x Microphones,02.11.2023,$859.00,https://laptopmedia.com/review/lenovo-ideapad-gaming-3i-15-2021/,https://www.amazon.com/exec/obidos/ASIN/B0CG1J79D5?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,,"10, 100, 1000 Mbit/s",Fingerprint reader,3,85/100
737,"Lenovo IdeaPad Gaming 3i 15ProcessorIntel Core i5-11300HInternal memory48GB RAMVideo cardNVIDIA GeForce GTX 1650 (Laptop)Display15.6”, Full HD (1920 x 1080), 120 Hz, IPSSolid-state drive2000GB SSD",https://laptopmedia.com/laptop-specs/lenovo-ideapad-gaming-3i-15-898/,Lenovo IdeaPad Gaming 3i 15,Lenovo,IdeaPadGaming3i15,Intel Core i5-11300H,11002,NVIDIA GeForce GTX 1650 (Laptop),2000GB SSD,48GB,,15.6”, Full HD (1920 x 1080), 120 Hz,,"359.6 x 251.9 x 24.2 mm (14.16"" x 9.92"" x 0.95"")",2.0,802.11ax,5.0,720p,2x Microphones,02.11.2023,$1209.00,https://laptopmedia.com/review/lenovo-ideapad-gaming-3i-15-2021/,https://www.amazon.com/exec/obidos/ASIN/B0CG8PNDJ4?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,,"10, 100, 1000 Mbit/s",Fingerprint reader,3,85/100
738,"Lenovo IdeaPad Gaming 3i 15ProcessorIntel Core i5-11300HInternal memory16GB RAMVideo cardNVIDIA GeForce GTX 1650 (Laptop)Display15.6”, Full HD (1920 x 1080), 120 Hz, IPSSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/lenovo-ideapad-gaming-3i-15-901/,Lenovo IdeaPad Gaming 3i 15,Lenovo,IdeaPadGaming3i15,Intel Core i5-11300H,11002,NVIDIA GeForce GTX 1650 (Laptop),1000GB SSD,16GB,,15.6”, Full HD (1920 x 1080), 120 Hz,,"359.6 x 251.9 x 24.2 mm (14.16"" x 9.92"" x 0.95"")",2.0,802.11ax,5.0,720p,2x Microphones,02.11.2023,$929.00,https://laptopmedia.com/review/lenovo-ideapad-gaming-3i-15-2021/,https://www.amazon.com/exec/obidos/ASIN/B0CG1M4G15?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,,"10, 100, 1000 Mbit/s",Fingerprint reader,3,85/100
739,"Lenovo IdeaPad Gaming 3i 15ProcessorIntel Core i5-11300HInternal memory24GB RAMVideo cardNVIDIA GeForce GTX 1650 (Laptop)Display15.6”, Full HD (1920 x 1080), 120 Hz, IPSSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/lenovo-ideapad-gaming-3i-15-920/,Lenovo IdeaPad Gaming 3i 15,Lenovo,IdeaPadGaming3i15,Intel Core i5-11300H,11002,NVIDIA GeForce GTX 1650 (Laptop),1000GB SSD,24GB,,15.6”, Full HD (1920 x 1080), 120 Hz,,"359.6 x 251.9 x 24.2 mm (14.16"" x 9.92"" x 0.95"")",2.0,802.11ax,5.0,720p,2x Microphones,02.11.2023,$919.00,https://laptopmedia.com/review/lenovo-ideapad-gaming-3i-15-2021/,https://www.amazon.com/exec/obidos/ASIN/B0CFWZJY77?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,,"10, 100, 1000 Mbit/s",Fingerprint reader,3,85/100
740,"ASUS Vivobook 14ProcessorIntel Core i5-1240PInternal memory16GB RAMVideo cardIntel Iris Xe Graphics G7 (80EU)Display14.0”, Full HD (1920 x 1080), IPSSolid-state drive512GB SSD",https://laptopmedia.com/laptop-specs/asus-vivobook-14-752/,ASUS Vivobook 14,ASUS,Vivobook14,Intel Core i5-1240P,17351,Intel Iris Xe Graphics G7 (80EU),512GB SSD,16GB,,14.0”, Full HD (1920 x 1080),, IPS,2.0,1.4,802.11ax,5.0,720p,1x Microphone,02.11.2023,,,,,,Fingerprint reader,5,80/100
741,"Lenovo ThinkPad E16 Gen 1ProcessorIntel Core i5-1335UInternal memory8GB RAMVideo cardIntel Iris Xe Graphics G7 (80EU)Display16.0”, WUXGA (1920 x 1200), IPSSolid-state drive2000GB SSD",https://laptopmedia.com/laptop-specs/lenovo-thinkpad-e16-gen-1-134/,Lenovo ThinkPad E16 Gen 1,Lenovo,ThinkPadE16Gen1,Intel Core i5-1335U,17424,Intel Iris Xe Graphics G7 (80EU),2000GB SSD,8GB,,16.0”, WUXGA (1920 x 1200),, IPS,2.0,2.0,802.11ax,5.1,720p / 1080p,2x Microphones,01.11.2023,,,,,"10, 100, 1000 Mbit/s",Fingerprint reader,3,85/100
742,"HP Pavilion 15ProcessorIntel Core i7-1355UInternal memory64GB RAMVideo cardNVIDIA GeForce MX550Display15.6”, Full HD (1920 x 1080), IPSSolid-state drive4000GB SSD",https://laptopmedia.com/laptop-specs/hp-pavilion-15-7261/,HP Pavilion 15,HP,Pavilion15,Intel Core i7-1355U,15276,NVIDIA GeForce MX550,4000GB SSD,64GB,,15.6”, Full HD (1920 x 1080),, IPS,"360.1 x 233.9 x 17.8 mm (14.18"" x 9.21"" x 0.70"")",2.0,802.11ax,5.0,720p,2x Microphones,08.10.2023,,,,,,,9,63/100
743,"ASUS ROG Zephyrus G15ProcessorAMD Ryzen 9 5900HSInternal memory32GB RAMVideo cardNVIDIA GeForce RTX 3080 (Laptop, 100W)Display15.6”, QHD (2560 x 1440), 165 Hz, IPSSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/asus-rog-zephyrus-g15-953/,ASUS ROG Zephyrus G15,ASUS,ROGZephyrusG15,AMD Ryzen 9 5900HS,21851,"NVIDIA GeForce RTX 3080 (Laptop, 100W)",1000GB SSD,32GB,,15.6”, QHD (2560 x 1440), 165 Hz,,,2.0b,802.11ax,5.1,,1x Microphone,06.10.2023,,,,"355 x 243 x 19.9 mm (13.98"" x 9.57"" x 0.78"")","10, 100, 1000 Mbit/s",Fingerprint reader,5,80/100
744,"LG gram 17ProcessorIntel Core i7-1260PInternal memory16GB RAMVideo cardIntel Iris Xe Graphics G7 (96EU)Display17.0”, QHD+ (2560 x 1600), IPSSolid-state drive4000GB SSD",https://laptopmedia.com/laptop-specs/lg-gram-17-721/,LG gram 17,LG,gram17,Intel Core i7-1260P,17211,Intel Iris Xe Graphics G7 (96EU),4000GB SSD,16GB,,17.0”, QHD (2560 x 1600),, IPS,3.2 Gen 1 (5 Gbps),,802.11ax,5.1,720p,2x Microphones,31.10.2023,,,,,,Fingerprint reader,,
745,"HP Pavilion 15ProcessorAMD Ryzen 7 5700UInternal memory64GB RAMVideo cardAMD Radeon RX Vega 8 (R4000/5000, 15W)Display15.6”, Full HD (1920 x 1080), IPSSolid-state drive8000GB SSD",https://laptopmedia.com/laptop-specs/hp-pavilion-15-7333/,HP Pavilion 15,HP,Pavilion15,AMD Ryzen 7 5700U,15841,"AMD Radeon RX Vega 8 (R4000/5000, 15W)",8000GB SSD,64GB,,15.6”, Full HD (1920 x 1080),, IPS,"360.1 x 233.9 x 17.8 mm (14.18"" x 9.21"" x 0.70"")",2.0,802.11ax,5.0,720p,2x Microphones,31.10.2023,,,,,,Fingerprint reader,9,63/100
746,"LG gram 16 2-in-1ProcessorIntel Core i7-1165G7Internal memory16GB RAMVideo cardIntel Iris Xe Graphics G7 (96EU)Display16.0"", WQXGA (2560 x 1600), IPSSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/lg-gram-16-2-in-1-338/,LG gram 16 2-in-1,LG,gram162-in-1,Intel Core i7-1165G7,10358,Intel Iris Xe Graphics G7 (96EU),1000GB SSD,16GB,,"16.0""", WQXGA (2560 x 1600),, IPS,3.2 Gen 2 (10 Gbps),2.0,802.11ax,5.1,720p,,30.10.2023,,,,,,Fingerprint reader,,
747,"Acer Aspire 7ProcessorIntel Core i7-1260PInternal memory16GB RAMVideo cardNVIDIA GeForce RTX 3050 Ti (Laptop)Display15.6”, Full HD (1920 x 1080), 144 Hz, IPSSolid-state drive2000GB SSD",https://laptopmedia.com/laptop-specs/acer-aspire-7-272/,Acer Aspire 7,Acer,Aspire7,Intel Core i7-1260P,17211,NVIDIA GeForce RTX 3050 Ti (Laptop),2000GB SSD,16GB,,15.6”, Full HD (1920 x 1080), 144 Hz,,3.2 Gen 1 (5 Gbps),2.1,802.11ax,5.2,720p,2x Microphones,31.10.2023,,,,,"10, 100, 1000 Mbit/s",Fingerprint reader,7,73/100
748,"Acer Aspire 1ProcessorIntel Celeron N4500Internal memory8GB RAMVideo cardIntel UHD Graphics (Jasper Lake 16 EU)Display15.6”, Full HD (1920 x 1080), TNSolid-state drive128GB SSD",https://laptopmedia.com/laptop-specs/acer-aspire-1-158/,Acer Aspire 1,Acer,Aspire1,Intel Celeron N4500,1991,Intel UHD Graphics (Jasper Lake 16 EU),128GB SSD,8GB,,15.6”, Full HD (1920 x 1080),, TN,2.0,,802.11ac,5.0,VGA,1x Microphone,31.10.2023,,,,,"10, 100, 1000 Mbit/s",Fingerprint reader,7,73/100
749,"HP OMEN 16ProcessorIntel Core i7-13700HXInternal memory24GB RAMVideo cardNVIDIA GeForce RTX 4060 (Laptop)Display16.1″, QHD (2560 x 1600), 240 Hz, IPSSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/hp-omen-16-1317/,HP OMEN 16,HP,OMEN16,Intel Core i7-13700HX,34153,NVIDIA GeForce RTX 4060 (Laptop),1000GB SSD,24GB,,16.1″, QHD (2560 x 1600), 240 Hz,,,2.1,802.11ax,5.3,1080p,2x Microphones,31.10.2023,,,,,"10, 100, 1000 Mbit/s",Fingerprint reader,9,63/100
750,"HP OMEN 16ProcessorIntel Core i7-13700HXInternal memory24GB RAMVideo cardNVIDIA GeForce RTX 4060 (Laptop)Display16.1″, QHD (2560 x 1600), 240 Hz, IPSSolid-state drive2000GB SSD",https://laptopmedia.com/laptop-specs/hp-omen-16-1321/,HP OMEN 16,HP,OMEN16,Intel Core i7-13700HX,34153,NVIDIA GeForce RTX 4060 (Laptop),2000GB SSD,24GB,,16.1″, QHD (2560 x 1600), 240 Hz,,,2.1,802.11ax,5.3,1080p,2x Microphones,31.10.2023,,,,,"10, 100, 1000 Mbit/s",Fingerprint reader,9,63/100
751,"MSI Sword 15ProcessorIntel Core i5-12450HInternal memory48GB RAMVideo cardNVIDIA GeForce RTX 3050 (Laptop, 60W)Display15.6”, Full HD (1920 x 1080), 144 Hz, IPSSolid-state drive2000GB SSD",https://laptopmedia.com/laptop-specs/msi-sword-15-1335/,MSI Sword 15,MSI,Sword15,Intel Core i5-12450H,17762,"NVIDIA GeForce RTX 3050 (Laptop, 60W)",2000GB SSD,48GB,,15.6”, Full HD (1920 x 1080), 144 Hz,,2.0,,802.11ax,5.2,720p,,31.10.2023,,,,,"10, 100, 1000 Mbit/s",Fingerprint reader,10,44/100
752,"Dell Inspiron 3510ProcessorIntel Celeron N4020Internal memory24GB RAMVideo cardIntel UHD Graphics 600Display15.6”, HD (1366 x 768), TNSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/dell-inspiron-3510-341/,Dell Inspiron 3510,Dell,Inspiron3510,Intel Celeron N4020,1559,Intel UHD Graphics 600,1000GB SSD,24GB,,15.6”, HD (1366 x 768),, TN,2.0,1.4,802.11ac,5.0,720p,1x Microphone,01.11.2023,,,,,,Fingerprint reader,4,80/100
